0,0,0,2.119514,5295,2734
5,2534,779,2.080302,5355,2749
10,1263,448,2.246623,5244,2334
100,115,54,2.126337,5309,3015
1000,11,3,2.05163,5467,3068
0,0,0,2.355773,5022,1634
5,2534,764,2.098323,5601,2724
10,1263,576,2.466747,4795,1117
100,115,43,2.14541,5398,2651
1000,11,5,2.484196,4857,1175
0,0,0,2.065563,5295,3013
5,2534,992,2.578149,4932,1112
10,1263,439,2.145657,5257,2611
100,115,39,2.069353,5460,2807
1000,11,4,2.100647,5552,2913
0,0,0,2.284153,5185,2066
5,2534,970,2.533318,4883,1185
10,1263,462,2.244616,5109,2261
100,115,49,2.138602,5327,2766
1000,11,4,2.093901,5413,2797
0,0,0,2.107041,5243,2945
5,2534,814,2.238742,5278,2153
10,1263,613,2.591321,4711,762
100,115,53,2.255067,5083,2086
1000,11,3,2.265609,5136,2141
0,0,0,2.196464,5199,2385
5,2534,735,2.059267,5434,2890
10,1263,401,2.090948,5432,2899
100,115,55,2.120338,5258,2643
1000,11,3,2.098856,5552,2719
0,0,0,2.46813,4915,1270
5,2534,767,2.155158,5296,2647
10,1263,380,2.092944,5390,2712
100,115,64,2.428321,4832,1470
1000,11,5,2.076022,5458,3123
0,0,0,2.082218,5391,2988
5,2534,996,2.483727,4837,1195
10,1263,420,2.079652,5406,2811
100,115,64,2.48749,4856,1109
1000,11,5,2.140241,5533,2490
0,0,0,2.136261,5262,2612
5,2534,787,2.110463,5322,2835
10,1263,430,2.144166,5251,2741
100,115,60,2.35917,5029,1731
1000,11,3,2.197038,5217,2412
0,0,0,2.128074,5189,2832
5,2534,755,2.08405,5372,2875
10,1263,401,2.091836,5240,2879
100,115,54,2.400564,4961,1468
1000,11,4,2.322522,5069,1784
0,0,0,2.319146,5159,1756
5,2523,782,2.161835,5461,2472
10,1269,464,2.299902,5228,1823
100,115,34,2.239471,5226,2351
1000,11,6,2.482113,4909,1166
