0,0,0,2.184738,5048,2371
5,2534,779,2.189837,5259,2458
10,1263,545,2.527877,4791,942
100,115,57,2.605737,4797,883
1000,11,3,2.406816,4895,1470
0,0,0,2.100164,5406,2899
5,2534,1020,2.48333,4835,1152
10,1263,446,2.177765,5257,2585
100,115,53,2.446191,5004,1228
1000,11,6,2.60001,4742,813
0,0,0,2.046951,5425,3146
5,2534,978,2.452943,4921,1288
10,1263,557,2.644619,4770,998
100,115,65,2.529584,4816,991
1000,11,3,2.167973,5185,2639
0,0,0,2.473157,4928,1340
5,2534,1023,2.474099,4766,1201
10,1263,498,2.348917,5051,1731
100,115,52,2.147683,5325,2773
1000,11,3,2.113069,5424,2844
0,0,0,2.2101,5266,2188
5,2534,811,2.192968,5222,2365
10,1263,541,2.355904,4948,1859
100,115,47,2.260015,5171,2232
1000,11,4,2.309279,5107,2036
0,0,0,2.211317,5182,2590
5,2534,1024,2.594689,4909,881
10,1263,482,2.320048,5043,1980
100,115,47,2.059317,5490,3268
1000,11,6,2.379534,4932,1653
0,0,0,2.280097,5055,2228
5,2534,777,2.100079,5250,2838
10,1263,408,2.129005,5263,2912
100,115,44,2.136021,5183,2636
1000,11,5,2.061702,5533,2860
0,0,0,2.172239,5344,2575
5,2534,805,2.175321,5203,2512
10,1263,390,2.067617,5409,2883
100,115,39,2.107622,5303,2975
1000,11,6,2.220823,5138,2348
0,0,0,2.243794,5210,2226
5,2534,901,2.306371,5206,1856
10,1263,387,2.046273,5391,3174
100,115,49,2.126402,5476,2830
1000,11,4,2.382208,5108,1992
0,0,0,2.069393,5486,3023
5,2534,985,2.385498,4942,1500
10,1263,510,2.330782,5098,1813
100,115,60,2.717671,4806,1002
1000,11,3,2.258164,5087,2094
0,0,0,2.080386,5501,3208
5,2534,1012,2.429326,4868,1320
0,0,0,2.595506,4798,973
5,2551,837,2.177288,5146,2693
10,1259,524,2.430099,5001,1318
100,112,44,2.51204,4793,978
1000,11,1,2.351274,5082,1915
