0,0,0,2.128808,12,0
5,2534,2848,2.102193,11,0
10,1263,1679,2.057238,12,0
100,115,194,2.080979,12,0
1000,11,20,2.17144,10,0
0,0,0,2.115186,11,0
5,2534,2847,2.495038,12,0
10,1263,1680,2.363823,11,0
100,115,194,2.246848,11,0
1000,11,20,2.300196,11,0
0,0,0,2.204104,14,1
5,2534,2846,2.405412,12,0
10,1263,1680,2.427363,11,0
100,115,194,2.185682,12,0
1000,11,20,2.167999,13,0
0,0,0,2.110448,12,0
5,2534,2848,2.114322,12,0
10,1263,1681,2.227088,10,0
100,115,194,2.48501,12,0
1000,11,20,2.088853,10,0
0,0,0,2.272953,10,0
5,2534,2847,2.185573,12,0
10,1263,1681,2.531444,10,0
100,115,194,2.073407,13,1
1000,11,20,2.161046,12,0
0,0,0,2.129384,12,0
5,2534,2847,2.349545,11,0
10,1263,1680,2.085933,11,0
100,115,194,2.224066,11,0
1000,11,20,2.509968,13,0
0,0,0,2.119619,12,0
5,2534,2847,2.116771,10,0
10,1263,1678,2.107574,13,0
100,115,193,2.34926,13,0
1000,11,20,2.189904,12,0
0,0,0,2.419513,13,0
5,2534,2846,2.241131,12,0
10,1263,1680,2.480137,12,0
100,115,193,2.086781,12,0
1000,11,20,2.095244,12,0
0,0,0,2.074682,12,0
5,2534,2847,2.511671,11,0
10,1263,1679,2.141261,13,0
100,115,194,2.248237,11,0
1000,11,20,2.128229,11,0
0,0,0,2.125036,11,0
5,2534,2846,2.30626,11,0
10,1263,1681,2.299915,10,0
100,115,194,2.210043,11,0
1000,11,20,2.338161,11,0
